Sistemas = 000014278
Spikes 	 Durations 
3.0 	3.0 
1.0 	1.0 
4.0 	3.0 
317.0 	42.0 
1.0 	1.0 
27.0 	12.0 
135.0 	39.0 
13.0 	9.0 
114.0 	35.0 
17.0 	7.0 
14.0 	9.0 
1.0 	1.0 
2.0 	2.0 
510.0 	51.0 
6.0 	2.0 
27.0 	11.0 
1.0 	1.0 
808.0 	109.0 
9.0 	7.0 
7.0 	5.0 
1.0 	1.0 
1.0 	1.0 
203.0 	53.0 
1.0 	1.0 
413.0 	65.0 
87.0 	28.0 
1.0 	1.0 
2.0 	2.0 
3.0 	3.0 
174845.0 	3207.0 
2.0 	2.0 
21855048.0 	194763.0 
9.0 	5.0 
10.0 	5.0 
3.0 	2.0 
1.0 	1.0 
97932188.0 	871530.0 
5.0 	3.0 
11.0 	6.0 
126.0 	25.0 
980.0 	136.0 
71566920.0 	437865.0 
6.0 	4.0 
1.0 	1.0 
3.0 	2.0 
10099.0 	1007.0 
3239.0 	227.0 
67.0 	23.0 
53.0 	14.0 
133.0 	26.0 
10.0 	5.0 
7.0 	5.0 
13810228.0 	116861.0 
1.0 	1.0 
2.0 	2.0 
12.0 	8.0 
121.0 	30.0 
89.0 	28.0 
86.0 	17.0 
94131054.0 	509318.0 
1.0 	1.0 
1.0 	1.0 
114726551.0 	1000000.0 
3.0 	3.0 
6110.0 	272.0 
20.0 	7.0 
66.0 	31.0 
79372574.0 	704304.0 
2.0 	2.0 
292149451.0 	1000000.0 
1.0 	1.0 
1.0 	1.0 
9.0 	5.0 
213.0 	42.0 
4.0 	2.0 
752.0 	168.0 
291661773.0 	1000000.0 
1.0 	1.0 
65.0 	24.0 
23.0 	9.0 
3.0 	2.0 
7.0 	5.0 
226.0 	45.0 
8.0 	4.0 
2.0 	2.0 
880.0 	152.0 
21182.0 	499.0 
14.0 	10.0 
7.0 	7.0 
1.0 	1.0 
140.0 	33.0 
8.0 	6.0 
5.0 	5.0 
75.0 	23.0 
294.0 	47.0 
1.0 	1.0 
1.0 	1.0 
53.0 	19.0 
129.0 	37.0 
7.0 	6.0 
1.0 	1.0 
3.0 	3.0 
77.0 	23.0 
282.0 	36.0 
1.0 	1.0 
8649.0 	435.0 
6.0 	4.0 
6.0 	5.0 
1.0 	1.0 
2.0 	2.0 
3.0 	3.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
2.0 	2.0 
68980.0 	3222.0 
364.0 	69.0 
207.0 	61.0 
46.0 	21.0 
5.0 	4.0 
1.0 	1.0 
120819312.0 	555556.0 
