Sistemas = 000060000
Spikes 	 Durations 
6.0 	5.0 
41.0 	11.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
4.0 	4.0 
21.0 	9.0 
5296.0 	352.0 
3.0 	3.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
6.0 	6.0 
70.0 	12.0 
3.0 	3.0 
30.0 	12.0 
16.0 	10.0 
495203.0 	15392.0 
22.0 	12.0 
1.0 	1.0 
19.0 	10.0 
23.0 	13.0 
7.0 	5.0 
3992.0 	173.0 
64.0 	19.0 
4.0 	3.0 
4.0 	4.0 
1.0 	1.0 
2.0 	2.0 
34.0 	13.0 
1.0 	1.0 
5.0 	5.0 
1.0 	1.0 
50090.0 	1831.0 
1.0 	1.0 
637.0 	103.0 
23.0 	15.0 
139.0 	48.0 
5.0 	4.0 
2.0 	2.0 
1.0 	1.0 
36.0 	16.0 
6.0 	6.0 
2.0 	2.0 
1.0 	1.0 
747.0 	119.0 
22.0 	10.0 
4025.0 	295.0 
78.0 	28.0 
27.0 	13.0 
463.0 	75.0 
26.0 	10.0 
830.0 	110.0 
1.0 	1.0 
2.0 	2.0 
502.0 	44.0 
1.0 	1.0 
267.0 	49.0 
1.0 	1.0 
184.0 	30.0 
7.0 	4.0 
127.0 	27.0 
109.0 	35.0 
22.0 	12.0 
183.0 	32.0 
277.0 	53.0 
27.0 	11.0 
16.0 	8.0 
22.0 	14.0 
1.0 	1.0 
13.0 	9.0 
10.0 	5.0 
10.0 	5.0 
45.0 	11.0 
1.0 	1.0 
758.0 	120.0 
7.0 	5.0 
1.0 	1.0 
1032.0 	136.0 
2.0 	2.0 
8.0 	4.0 
2.0 	2.0 
2.0 	2.0 
3.0 	2.0 
48.0 	15.0 
2.0 	2.0 
2.0 	2.0 
477.0 	102.0 
380.0 	57.0 
39.0 	12.0 
19.0 	7.0 
52.0 	23.0 
1.0 	1.0 
1.0 	1.0 
3.0 	2.0 
1.0 	1.0 
1.0 	1.0 
6.0 	5.0 
24.0 	14.0 
293.0 	46.0 
1.0 	1.0 
351.0 	49.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
3.0 	2.0 
158.0 	57.0 
