Sistemas = 000000090
Spikes 	 Durations 
540822905.0 	1000000.0 
540670819.0 	1000000.0 
2.0 	2.0 
540863885.0 	1000000.0 
540707691.0 	1000000.0 
540927437.0 	1000000.0 
540697083.0 	1000000.0 
540706498.0 	1000000.0 
540590379.0 	1000000.0 
4.0 	2.0 
1.0 	1.0 
3.0 	2.0 
37.0 	12.0 
540914849.0 	1000000.0 
1.0 	1.0 
1.0 	1.0 
540896983.0 	1000000.0 
540720054.0 	1000000.0 
540702349.0 	1000000.0 
1.0 	1.0 
21.0 	8.0 
83.0 	26.0 
1.0 	1.0 
540910957.0 	1000000.0 
540882265.0 	1000000.0 
1.0 	1.0 
4.0 	3.0 
540708216.0 	1000000.0 
540674223.0 	1000000.0 
540857450.0 	1000000.0 
2.0 	2.0 
4.0 	4.0 
3.0 	3.0 
21.0 	8.0 
3.0 	2.0 
2.0 	2.0 
540685285.0 	1000000.0 
1.0 	1.0 
540818823.0 	1000000.0 
540849702.0 	1000000.0 
6.0 	5.0 
540746902.0 	1000000.0 
540710629.0 	1000000.0 
540739149.0 	1000000.0 
3.0 	3.0 
1.0 	1.0 
8.0 	4.0 
2.0 	2.0 
540560317.0 	1000000.0 
12.0 	9.0 
2.0 	2.0 
540721352.0 	1000000.0 
540819730.0 	1000000.0 
1.0 	1.0 
540805250.0 	1000000.0 
540793443.0 	1000000.0 
6.0 	5.0 
1.0 	1.0 
3.0 	3.0 
35.0 	12.0 
540792596.0 	1000000.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
21.0 	10.0 
540913483.0 	1000000.0 
540595557.0 	1000000.0 
6.0 	4.0 
540776596.0 	1000000.0 
540551506.0 	1000000.0 
3.0 	2.0 
1.0 	1.0 
1.0 	1.0 
540790805.0 	1000000.0 
25.0 	11.0 
540715915.0 	1000000.0 
540790196.0 	1000000.0 
3.0 	3.0 
540844437.0 	1000000.0 
4.0 	3.0 
540617385.0 	1000000.0 
3.0 	2.0 
540851243.0 	1000000.0 
540895437.0 	1000000.0 
9.0 	5.0 
2.0 	2.0 
540840463.0 	1000000.0 
540876825.0 	1000000.0 
3.0 	3.0 
31.0 	13.0 
