Sistemas = 000008000
Spikes 	 Durations 
1.0 	1.0 
4.0 	3.0 
86336.0 	2569.0 
1730.0 	161.0 
12.0 	6.0 
2.0 	2.0 
3.0 	3.0 
1.0 	1.0 
2.0 	2.0 
191312.0 	6468.0 
1.0 	1.0 
3.0 	2.0 
13.0 	8.0 
9256.0 	708.0 
22.0 	12.0 
1.0 	1.0 
1.0 	1.0 
357.0 	54.0 
5.0 	4.0 
110.0 	29.0 
1.0 	1.0 
1.0 	1.0 
3.0 	3.0 
22.0 	12.0 
11.0 	8.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
193.0 	51.0 
4.0 	4.0 
27.0 	10.0 
4.0 	4.0 
14.0 	6.0 
88.0 	30.0 
27.0 	10.0 
17.0 	9.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
2.0 	2.0 
2.0 	2.0 
39.0 	17.0 
129385.0 	4480.0 
426.0 	53.0 
6.0 	4.0 
1.0 	1.0 
9.0 	7.0 
1.0 	1.0 
2.0 	2.0 
4.0 	3.0 
117.0 	35.0 
1.0 	1.0 
1.0 	1.0 
3.0 	2.0 
1.0 	1.0 
23.0 	10.0 
1.0 	1.0 
164.0 	25.0 
1.0 	1.0 
52.0 	14.0 
95.0 	18.0 
218.0 	34.0 
4.0 	2.0 
80.0 	27.0 
66.0 	17.0 
2.0 	2.0 
1.0 	1.0 
89.0 	27.0 
2.0 	2.0 
1.0 	1.0 
16.0 	13.0 
13.0 	6.0 
493.0 	51.0 
234.0 	44.0 
9.0 	7.0 
2.0 	2.0 
1.0 	1.0 
12.0 	7.0 
15.0 	8.0 
1.0 	1.0 
59.0 	20.0 
23.0 	9.0 
597.0 	98.0 
161.0 	48.0 
4.0 	3.0 
4.0 	4.0 
16314.0 	785.0 
14.0 	5.0 
177.0 	38.0 
52.0 	13.0 
1888.0 	165.0 
1.0 	1.0 
95.0 	29.0 
1.0 	1.0 
695.0 	92.0 
85.0 	22.0 
10.0 	5.0 
1.0 	1.0 
1.0 	1.0 
2093.0 	112.0 
5.0 	4.0 
5.0 	5.0 
7.0 	6.0 
3.0 	3.0 
9.0 	5.0 
4.0 	4.0 
1.0 	1.0 
1.0 	1.0 
111.0 	43.0 
2.0 	2.0 
1.0 	1.0 
2.0 	2.0 
2.0 	2.0 
14.0 	6.0 
294.0 	62.0 
3.0 	2.0 
4.0 	3.0 
51.0 	21.0 
60.0 	16.0 
54.0 	18.0 
758.0 	126.0 
3.0 	3.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
169.0 	39.0 
11076.0 	670.0 
5.0 	3.0 
2.0 	2.0 
1.0 	1.0 
470137.0 	6611.0 
6.0 	4.0 
1.0 	1.0 
16.0 	13.0 
455.0 	50.0 
6.0 	5.0 
9.0 	6.0 
16.0 	7.0 
6042.0 	362.0 
102.0 	28.0 
3.0 	3.0 
2.0 	2.0 
334.0 	77.0 
15.0 	9.0 
80.0 	18.0 
1.0 	1.0 
1.0 	1.0 
47863.0 	1579.0 
347.0 	47.0 
7.0 	6.0 
17.0 	12.0 
9.0 	6.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
6.0 	4.0 
33.0 	18.0 
3.0 	2.0 
3.0 	2.0 
17.0 	11.0 
2.0 	2.0 
4.0 	2.0 
2.0 	2.0 
37.0 	14.0 
39.0 	13.0 
4.0 	4.0 
1.0 	1.0 
2.0 	2.0 
264.0 	47.0 
1.0 	1.0 
3.0 	3.0 
9.0 	5.0 
1.0 	1.0 
7.0 	4.0 
10.0 	7.0 
2.0 	2.0 
11.0 	10.0 
1.0 	1.0 
121.0 	35.0 
13.0 	8.0 
3.0 	3.0 
1484.0 	123.0 
1.0 	1.0 
172853.0 	5695.0 
39.0 	18.0 
1.0 	1.0 
334.0 	39.0 
11832.0 	625.0 
6.0 	5.0 
1740.0 	96.0 
1.0 	1.0 
23879.0 	964.0 
12721.0 	393.0 
1.0 	1.0 
154.0 	44.0 
90.0 	30.0 
4.0 	3.0 
11.0 	8.0 
104672.0 	3671.0 
1.0 	1.0 
2.0 	2.0 
996.0 	100.0 
1.0 	1.0 
1.0 	1.0 
10.0 	6.0 
6.0 	5.0 
7.0 	4.0 
8402.0 	390.0 
9745.0 	380.0 
24.0 	14.0 
22.0 	10.0 
6.0 	5.0 
3.0 	2.0 
46.0 	19.0 
21.0 	9.0 
2.0 	2.0 
3.0 	2.0 
1.0 	1.0 
44.0 	15.0 
3.0 	2.0 
2494.0 	219.0 
1.0 	1.0 
1.0 	1.0 
219.0 	42.0 
1.0 	1.0 
1359.0 	124.0 
7.0 	4.0 
16.0 	8.0 
1.0 	1.0 
2.0 	2.0 
11.0 	8.0 
1071.0 	143.0 
32.0 	15.0 
6845.0 	436.0 
162.0 	36.0 
56.0 	16.0 
3.0 	2.0 
1.0 	1.0 
459.0 	96.0 
1.0 	1.0 
8.0 	5.0 
52.0 	15.0 
3.0 	3.0 
1.0 	1.0 
9.0 	8.0 
1.0 	1.0 
1.0 	1.0 
151.0 	25.0 
1.0 	1.0 
5.0 	3.0 
7.0 	5.0 
13.0 	6.0 
1.0 	1.0 
1407.0 	250.0 
1052.0 	114.0 
19.0 	9.0 
1.0 	1.0 
1.0 	1.0 
6.0 	5.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
974.0 	120.0 
7413.0 	449.0 
3.0 	2.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
6.0 	4.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
30.0 	13.0 
4.0 	4.0 
4.0 	4.0 
11.0 	6.0 
6245.0 	394.0 
2.0 	2.0 
10.0 	6.0 
4.0 	2.0 
1.0 	1.0 
12.0 	8.0 
251.0 	53.0 
154.0 	25.0 
18.0 	8.0 
1.0 	1.0 
11.0 	6.0 
1.0 	1.0 
49.0 	19.0 
1.0 	1.0 
1.0 	1.0 
22.0 	10.0 
40916.0 	1342.0 
27.0 	17.0 
3.0 	2.0 
2.0 	2.0 
3.0 	3.0 
8.0 	6.0 
15.0 	11.0 
1.0 	1.0 
49.0 	21.0 
14.0 	7.0 
19.0 	12.0 
17.0 	8.0 
185.0 	47.0 
2.0 	2.0 
103.0 	21.0 
1.0 	1.0 
1.0 	1.0 
20.0 	11.0 
10.0 	7.0 
13.0 	9.0 
17.0 	6.0 
8140.0 	376.0 
2.0 	2.0 
21.0 	12.0 
1.0 	1.0 
40.0 	19.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
2825.0 	193.0 
1.0 	1.0 
24.0 	13.0 
16455.0 	538.0 
1.0 	1.0 
6321.0 	312.0 
598.0 	83.0 
1.0 	1.0 
42.0 	21.0 
146.0 	22.0 
13.0 	8.0 
505.0 	86.0 
3.0 	3.0 
22.0 	17.0 
1.0 	1.0 
46.0 	12.0 
2.0 	2.0 
4.0 	3.0 
84863.0 	3018.0 
8.0 	6.0 
22.0 	12.0 
1.0 	1.0 
3.0 	3.0 
15.0 	8.0 
17810.0 	717.0 
1.0 	1.0 
28.0 	18.0 
1213.0 	169.0 
2.0 	2.0 
7.0 	6.0 
1.0 	1.0 
2.0 	2.0 
15.0 	9.0 
315.0 	46.0 
233.0 	59.0 
1.0 	1.0 
1.0 	1.0 
1546.0 	173.0 
1.0 	1.0 
1.0 	1.0 
59.0 	17.0 
185.0 	38.0 
3123.0 	170.0 
5058.0 	332.0 
32.0 	16.0 
3.0 	2.0 
8.0 	5.0 
1.0 	1.0 
4.0 	3.0 
3.0 	3.0 
2.0 	2.0 
1.0 	1.0 
2.0 	2.0 
5.0 	5.0 
5.0 	4.0 
1.0 	1.0 
1.0 	1.0 
18.0 	9.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
17.0 	8.0 
1.0 	1.0 
9.0 	7.0 
1.0 	1.0 
17.0 	11.0 
1.0 	1.0 
7.0 	6.0 
33.0 	15.0 
283.0 	45.0 
1.0 	1.0 
9384.0 	357.0 
1.0 	1.0 
110.0 	28.0 
2289.0 	266.0 
19.0 	7.0 
5.0 	4.0 
4.0 	4.0 
3865.0 	221.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
3.0 	2.0 
1.0 	1.0 
1.0 	1.0 
127.0 	30.0 
2.0 	2.0 
530945.0 	7561.0 
28.0 	14.0 
2.0 	2.0 
1.0 	1.0 
3.0 	3.0 
2478.0 	204.0 
1.0 	1.0 
89.0 	32.0 
1.0 	1.0 
245810.0 	5086.0 
2.0 	2.0 
9.0 	6.0 
1.0 	1.0 
119.0 	37.0 
122.0 	40.0 
15092.0 	570.0 
79.0 	31.0 
1.0 	1.0 
23.0 	9.0 
10.0 	4.0 
17.0 	6.0 
1.0 	1.0 
6.0 	4.0 
24.0 	10.0 
2520.0 	249.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
6.0 	5.0 
1.0 	1.0 
6.0 	5.0 
1490.0 	151.0 
4.0 	4.0 
692.0 	77.0 
11.0 	7.0 
102.0 	31.0 
65.0 	21.0 
2.0 	2.0 
600.0 	50.0 
21.0 	13.0 
1.0 	1.0 
3.0 	3.0 
2.0 	2.0 
19.0 	9.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
3.0 	3.0 
1.0 	1.0 
7.0 	4.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
4.0 	3.0 
89.0 	22.0 
66082.0 	2109.0 
28.0 	13.0 
2.0 	2.0 
20.0 	10.0 
2.0 	2.0 
1.0 	1.0 
25.0 	7.0 
7.0 	4.0 
97.0 	34.0 
96.0 	21.0 
294762.0 	10000.0 
1.0 	1.0 
1.0 	1.0 
6.0 	5.0 
33.0 	11.0 
1.0 	1.0 
2.0 	2.0 
10.0 	6.0 
178.0 	48.0 
4.0 	3.0 
3.0 	3.0 
135.0 	27.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
18.0 	11.0 
3.0 	3.0 
1.0 	1.0 
3.0 	2.0 
3592.0 	318.0 
15.0 	6.0 
18.0 	8.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
88.0 	21.0 
325335.0 	10000.0 
1.0 	1.0 
1.0 	1.0 
4.0 	4.0 
7.0 	4.0 
6.0 	4.0 
76.0 	34.0 
103866.0 	3284.0 
320.0 	62.0 
2.0 	2.0 
15.0 	6.0 
2.0 	2.0 
1.0 	1.0 
620.0 	101.0 
1.0 	1.0 
2.0 	2.0 
2.0 	2.0 
28.0 	11.0 
1545.0 	159.0 
82.0 	27.0 
1.0 	1.0 
12.0 	5.0 
46.0 	17.0 
2.0 	2.0 
17078.0 	805.0 
2.0 	2.0 
26.0 	12.0 
4410.0 	429.0 
7.0 	6.0 
2.0 	2.0 
108.0 	31.0 
3.0 	2.0 
1.0 	1.0 
2.0 	2.0 
3.0 	2.0 
62.0 	24.0 
1.0 	1.0 
2.0 	2.0 
48.0 	18.0 
6.0 	4.0 
2.0 	2.0 
4.0 	4.0 
147.0 	31.0 
2.0 	2.0 
305.0 	46.0 
6.0 	5.0 
21.0 	11.0 
18.0 	8.0 
733.0 	101.0 
1.0 	1.0 
7.0 	6.0 
3.0 	2.0 
4.0 	3.0 
1.0 	1.0 
1.0 	1.0 
5.0 	5.0 
5.0 	5.0 
7.0 	4.0 
17.0 	8.0 
67.0 	32.0 
659.0 	87.0 
1.0 	1.0 
2.0 	2.0 
534.0 	68.0 
65.0 	23.0 
64.0 	22.0 
2.0 	2.0 
1.0 	1.0 
10.0 	5.0 
4.0 	3.0 
7.0 	5.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
10.0 	7.0 
75.0 	24.0 
1.0 	1.0 
108.0 	28.0 
4.0 	3.0 
6.0 	4.0 
28.0 	11.0 
16.0 	8.0 
15.0 	10.0 
7.0 	4.0 
2.0 	2.0 
1.0 	1.0 
422.0 	52.0 
3.0 	2.0 
219.0 	51.0 
877.0 	78.0 
8.0 	7.0 
2.0 	2.0 
1.0 	1.0 
3.0 	3.0 
2.0 	2.0 
284106.0 	8160.0 
170.0 	33.0 
2.0 	2.0 
214.0 	42.0 
34.0 	17.0 
2.0 	2.0 
1.0 	1.0 
46.0 	18.0 
5.0 	4.0 
1.0 	1.0 
2.0 	2.0 
40.0 	13.0 
5.0 	4.0 
8.0 	6.0 
175.0 	52.0 
145.0 	32.0 
2.0 	2.0 
13.0 	8.0 
1.0 	1.0 
19.0 	9.0 
57994.0 	2238.0 
2.0 	2.0 
384.0 	46.0 
1.0 	1.0 
6.0 	5.0 
1.0 	1.0 
3.0 	2.0 
405.0 	47.0 
2978.0 	153.0 
128.0 	44.0 
1.0 	1.0 
1.0 	1.0 
3.0 	3.0 
1.0 	1.0 
104.0 	23.0 
1.0 	1.0 
1.0 	1.0 
5.0 	4.0 
95.0 	23.0 
20.0 	12.0 
3.0 	2.0 
2.0 	2.0 
14.0 	9.0 
4.0 	3.0 
13.0 	8.0 
2995.0 	184.0 
63.0 	18.0 
3.0 	3.0 
19.0 	8.0 
10.0 	5.0 
84.0 	18.0 
1.0 	1.0 
79.0 	21.0 
2.0 	2.0 
3.0 	2.0 
2.0 	2.0 
7.0 	4.0 
13.0 	6.0 
14.0 	10.0 
1.0 	1.0 
434.0 	51.0 
294.0 	59.0 
1103.0 	134.0 
371.0 	89.0 
91.0 	23.0 
47.0 	15.0 
1.0 	1.0 
163.0 	40.0 
29.0 	23.0 
136.0 	36.0 
1.0 	1.0 
8.0 	4.0 
1.0 	1.0 
28526.0 	1562.0 
3.0 	2.0 
3.0 	3.0 
295.0 	55.0 
1.0 	1.0 
6.0 	4.0 
3.0 	2.0 
275.0 	46.0 
1850.0 	170.0 
23139.0 	978.0 
18.0 	15.0 
190367.0 	4769.0 
1337.0 	115.0 
2.0 	2.0 
145.0 	44.0 
1.0 	1.0 
6.0 	4.0 
1.0 	1.0 
14.0 	6.0 
3.0 	2.0 
20160.0 	825.0 
3.0 	3.0 
2.0 	2.0 
2.0 	2.0 
91.0 	22.0 
1.0 	1.0 
24.0 	9.0 
3.0 	3.0 
15.0 	7.0 
51891.0 	1430.0 
1.0 	1.0 
205.0 	46.0 
3.0 	2.0 
3.0 	3.0 
652.0 	104.0 
3.0 	3.0 
1032.0 	119.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1565.0 	128.0 
10.0 	5.0 
1.0 	1.0 
5.0 	5.0 
40.0 	11.0 
2.0 	2.0 
1.0 	1.0 
29.0 	12.0 
1.0 	1.0 
46.0 	13.0 
3.0 	3.0 
1535.0 	151.0 
1.0 	1.0 
2.0 	2.0 
3.0 	2.0 
1.0 	1.0 
1.0 	1.0 
85.0 	34.0 
8934.0 	485.0 
41.0 	13.0 
23.0 	14.0 
2.0 	2.0 
105088.0 	2307.0 
1.0 	1.0 
1.0 	1.0 
8.0 	6.0 
1.0 	1.0 
93.0 	32.0 
4.0 	4.0 
385.0 	46.0 
6.0 	5.0 
2.0 	2.0 
1467.0 	117.0 
7.0 	5.0 
226.0 	40.0 
2.0 	2.0 
5.0 	5.0 
14.0 	6.0 
304.0 	59.0 
2.0 	2.0 
5.0 	5.0 
1.0 	1.0 
13.0 	6.0 
2.0 	2.0 
5.0 	4.0 
10.0 	6.0 
18.0 	8.0 
1.0 	1.0 
1683.0 	116.0 
2.0 	2.0 
11.0 	7.0 
113649.0 	2343.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
70271.0 	1945.0 
158.0 	34.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
198.0 	42.0 
3.0 	2.0 
5.0 	2.0 
3.0 	3.0 
2.0 	2.0 
1.0 	1.0 
8.0 	6.0 
102267.0 	2887.0 
1.0 	1.0 
111.0 	32.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
3.0 	3.0 
5.0 	3.0 
2.0 	2.0 
14.0 	7.0 
1.0 	1.0 
9.0 	8.0 
1.0 	1.0 
6932.0 	367.0 
1.0 	1.0 
35.0 	14.0 
21.0 	13.0 
2.0 	2.0 
1.0 	1.0 
672.0 	67.0 
1.0 	1.0 
3.0 	3.0 
4627.0 	196.0 
116.0 	41.0 
2.0 	2.0 
14.0 	11.0 
16.0 	5.0 
3.0 	3.0 
2.0 	2.0 
409.0 	62.0 
21.0 	11.0 
8.0 	8.0 
3.0 	3.0 
2.0 	2.0 
3.0 	2.0 
22.0 	8.0 
4.0 	3.0 
1.0 	1.0 
5.0 	5.0 
2.0 	2.0 
827.0 	63.0 
3.0 	2.0 
6.0 	4.0 
1.0 	1.0 
1.0 	1.0 
3135.0 	223.0 
40.0 	16.0 
76.0 	20.0 
74.0 	16.0 
17.0 	7.0 
9.0 	5.0 
7.0 	4.0 
1.0 	1.0 
50.0 	17.0 
2.0 	2.0 
1.0 	1.0 
3.0 	3.0 
1.0 	1.0 
2.0 	2.0 
13880.0 	602.0 
196.0 	34.0 
46.0 	18.0 
22.0 	12.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
339.0 	65.0 
360.0 	78.0 
13.0 	7.0 
13.0 	6.0 
2.0 	2.0 
247.0 	58.0 
52.0 	22.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
16.0 	8.0 
1.0 	1.0 
2.0 	2.0 
14691.0 	403.0 
1.0 	1.0 
1.0 	1.0 
26.0 	9.0 
14.0 	10.0 
2.0 	2.0 
72.0 	18.0 
1.0 	1.0 
7.0 	5.0 
2.0 	2.0 
1.0 	1.0 
793.0 	127.0 
10.0 	8.0 
1.0 	1.0 
29.0 	17.0 
527.0 	112.0 
10.0 	8.0 
47.0 	22.0 
1.0 	1.0 
1.0 	1.0 
181.0 	40.0 
8.0 	5.0 
8.0 	4.0 
168.0 	27.0 
1.0 	1.0 
137.0 	33.0 
67.0 	26.0 
1.0 	1.0 
2.0 	2.0 
49.0 	22.0 
113.0 	30.0 
1.0 	1.0 
3.0 	3.0 
4.0 	3.0 
1.0 	1.0 
6.0 	5.0 
6.0 	4.0 
644.0 	116.0 
11.0 	6.0 
4.0 	3.0 
99.0 	27.0 
3.0 	2.0 
7.0 	7.0 
84865.0 	2520.0 
2.0 	2.0 
69028.0 	2605.0 
2.0 	2.0 
8.0 	5.0 
1.0 	1.0 
22.0 	11.0 
3.0 	2.0 
24.0 	12.0 
17.0 	8.0 
1.0 	1.0 
1.0 	1.0 
201.0 	42.0 
1.0 	1.0 
74.0 	22.0 
147.0 	23.0 
41.0 	20.0 
18307.0 	819.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
30.0 	10.0 
59.0 	23.0 
23.0 	11.0 
2.0 	2.0 
145.0 	30.0 
724.0 	124.0 
3.0 	3.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
2083.0 	186.0 
1.0 	1.0 
1.0 	1.0 
128.0 	30.0 
21.0 	8.0 
2.0 	2.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
38.0 	15.0 
2.0 	2.0 
2.0 	2.0 
1.0 	1.0 
21.0 	14.0 
3.0 	2.0 
1.0 	1.0 
23.0 	10.0 
7.0 	6.0 
35.0 	20.0 
9.0 	5.0 
1.0 	1.0 
2.0 	2.0 
2.0 	2.0 
31.0 	14.0 
17.0 	12.0 
5.0 	4.0 
1.0 	1.0 
41.0 	19.0 
6.0 	4.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
14.0 	6.0 
4.0 	3.0 
1.0 	1.0 
33.0 	12.0 
1.0 	1.0 
10.0 	6.0 
60.0 	22.0 
1.0 	1.0 
436.0 	63.0 
405.0 	69.0 
221.0 	46.0 
4.0 	3.0 
1.0 	1.0 
1.0 	1.0 
27.0 	14.0 
7.0 	5.0 
4.0 	4.0 
1.0 	1.0 
6.0 	5.0 
1.0 	1.0 
11.0 	7.0 
3.0 	2.0 
473.0 	92.0 
22296.0 	1097.0 
548.0 	86.0 
